"Time","Buses.On.Route","RouteID"
"1372883700","2","11Y"
"1372883760","2","11Y"
"1372883820","2","11Y"
"1372883880","2","11Y"
"1372883940","2","11Y"
"1372884000","4","11Y"
"1372884060","4","11Y"
"1372884120","4","11Y"
"1372884180","4","11Y"
"1372884240","4","11Y"
"1372884300","4","11Y"
"1372884360","4","11Y"
"1372884420","4","11Y"
"1372884480","4","11Y"
"1372884540","4","11Y"
"1372884600","4","11Y"
"1372884660","4","11Y"
"1372884720","4","11Y"
"1372884780","4","11Y"
"1372884840","4","11Y"
"1372884900","4","11Y"
"1372884960","4","11Y"
"1372885020","4","11Y"
"1372885080","4","11Y"
"1372885140","4","11Y"
"1372885200","4","11Y"
"1372885260","4","11Y"
"1372885320","4","11Y"
"1372885380","4","11Y"
"1372885440","4","11Y"
"1372885500","4","11Y"
"1372885560","4","11Y"
"1372885620","4","11Y"
"1372885680","4","11Y"
"1372885740","4","11Y"
"1372885800","6","11Y"
"1372885860","6","11Y"
"1372885920","6","11Y"
"1372885980","6","11Y"
"1372886040","6","11Y"
"1372886100","6","11Y"
"1372886160","4","11Y"
"1372886220","4","11Y"
"1372886280","4","11Y"
"1372886340","4","11Y"
"1372886400","4","11Y"
"1372886460","4","11Y"
"1372886520","4","11Y"
"1372886580","4","11Y"
"1372886640","4","11Y"
"1372886700","6","11Y"
"1372886760","6","11Y"
"1372886820","6","11Y"
"1372886880","6","11Y"
"1372886940","6","11Y"
"1372887000","6","11Y"
"1372887060","6","11Y"
"1372887120","6","11Y"
"1372887180","6","11Y"
"1372887240","6","11Y"
"1372887300","6","11Y"
"1372887360","6","11Y"
"1372887420","6","11Y"
"1372887480","6","11Y"
"1372887540","6","11Y"
"1372887600","8","11Y"
"1372887660","8","11Y"
"1372887720","8","11Y"
"1372887780","8","11Y"
"1372887840","8","11Y"
"1372887900","8","11Y"
"1372887960","8","11Y"
"1372888020","8","11Y"
"1372888080","8","11Y"
