"DirectionNum","EndTime","RouteID","StartTime"
"1","2013-07-03T07:31:00","34","2013-07-03T06:47:00"
"1","2013-07-03T07:53:00","34","2013-07-03T07:09:00"
"1","2013-07-03T08:13:00","34","2013-07-03T07:29:00"
"1","2013-07-03T08:33:00","34","2013-07-03T07:49:00"
"1","2013-07-03T08:55:00","34","2013-07-03T08:11:00"
"1","2013-07-03T09:11:00","34","2013-07-03T08:35:00"
"1","2013-07-03T09:34:00","34","2013-07-03T08:58:00"
"1","2013-07-03T09:57:00","34","2013-07-03T09:21:00"
"1","2013-07-03T10:27:00","34","2013-07-03T09:51:00"
"1","2013-07-03T10:59:00","34","2013-07-03T10:23:00"
"1","2013-07-03T11:29:00","34","2013-07-03T10:53:00"
"1","2013-07-03T11:59:00","34","2013-07-03T11:23:00"
"1","2013-07-03T12:29:00","34","2013-07-03T11:53:00"
"1","2013-07-03T12:59:00","34","2013-07-03T12:23:00"
"1","2013-07-03T13:29:00","34","2013-07-03T12:53:00"
"1","2013-07-03T13:59:00","34","2013-07-03T13:23:00"
"1","2013-07-03T14:29:00","34","2013-07-03T13:53:00"
"1","2013-07-03T14:59:00","34","2013-07-03T14:23:00"
"1","2013-07-03T15:30:00","34","2013-07-03T14:53:00"
"1","2013-07-03T15:53:00","34","2013-07-03T15:16:00"
"1","2013-07-03T16:10:00","34","2013-07-03T15:33:00"
"1","2013-07-03T16:25:00","34","2013-07-03T15:48:00"
"1","2013-07-03T16:40:00","34","2013-07-03T16:05:00"
"1","2013-07-03T16:55:00","34","2013-07-03T16:20:00"
"1","2013-07-03T17:10:00","34","2013-07-03T16:35:00"
"1","2013-07-03T17:25:00","34","2013-07-03T16:50:00"
"1","2013-07-03T17:43:00","34","2013-07-03T17:08:00"
"1","2013-07-03T18:03:00","34","2013-07-03T17:28:00"
"1","2013-07-03T18:24:00","34","2013-07-03T17:50:00"
"1","2013-07-03T18:44:00","34","2013-07-03T18:10:00"
"1","2013-07-03T19:12:00","34","2013-07-03T18:38:00"
"1","2013-07-03T19:42:00","34","2013-07-03T19:08:00"
"1","2013-07-03T20:08:00","34","2013-07-03T19:38:00"
"1","2013-07-03T20:53:00","34","2013-07-03T20:23:00"
"1","2013-07-03T21:41:00","34","2013-07-03T21:11:00"
"1","2013-07-03T22:46:00","34","2013-07-03T22:18:00"
"1","2013-07-03T23:51:00","34","2013-07-03T23:23:00"
"1","2013-07-04T00:55:00","34","2013-07-04T00:28:00"
"0","2013-07-03T05:35:00","34","2013-07-03T05:10:00"
"0","2013-07-03T05:55:00","34","2013-07-03T05:30:00"
"0","2013-07-03T06:17:00","34","2013-07-03T05:52:00"
"0","2013-07-03T06:39:00","34","2013-07-03T06:12:00"
"0","2013-07-03T06:59:00","34","2013-07-03T06:32:00"
"0","2013-07-03T07:23:00","34","2013-07-03T06:53:00"
"0","2013-07-03T07:43:00","34","2013-07-03T07:13:00"
"0","2013-07-03T08:06:00","34","2013-07-03T07:36:00"
"0","2013-07-03T08:30:00","34","2013-07-03T07:58:00"
"0","2013-07-03T08:50:00","34","2013-07-03T08:18:00"
"0","2013-07-03T09:12:00","34","2013-07-03T08:40:00"
"0","2013-07-03T09:37:00","34","2013-07-03T09:06:00"
"0","2013-07-03T10:09:00","34","2013-07-03T09:36:00"
"0","2013-07-03T10:39:00","34","2013-07-03T10:06:00"
"0","2013-07-03T11:09:00","34","2013-07-03T10:36:00"
"0","2013-07-03T11:39:00","34","2013-07-03T11:06:00"
"0","2013-07-03T12:09:00","34","2013-07-03T11:36:00"
"0","2013-07-03T12:39:00","34","2013-07-03T12:06:00"
"0","2013-07-03T13:09:00","34","2013-07-03T12:36:00"
"0","2013-07-03T13:39:00","34","2013-07-03T13:06:00"
"0","2013-07-03T14:09:00","34","2013-07-03T13:36:00"
